id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
400,盐沙苑子,Yán Shā Yuàn Zǐ,Salt-processed Astragalus Complanatus Seed,沙苑子,盐,,1,5:1,5,5,kidney|essence|eye|liver|yang_tonic,"Supplement the Kidney, secure Essence, nourish the Liver and brighten the eyes. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Yin deficiency with Fire; painful urinary dribbling,derived
401,山豆根,Shān Dòu Gēn,Sophora Tonkinensis Root,山豆根,,,0.75,4:1,4,3,throat|heat|toxin|swelling,"Clear Heat, resolve toxin, reduce swelling and benefit the throat","TOXIC — strict dose limit; Spleen Cold deficiency; overdose causes vomiting, diarrhoea, neurotoxicity",derived
402,山药,Shān Yào,Chinese Yam,山药,,,2.5,4:1,4,10,spleen|lung|kidney|gut|aging|qi_tonic,"Tonify Spleen, Lung and Kidney; stabilize Jing","Damp-Cold, food stagnation",curated
403,麸炒山药,Fū Chǎo Shān Yào,Bran-fried Chinese Yam,山药,麸炒,,2.5,4:1,4,10,spleen|lung|kidney|gut|aging|qi_tonic|stomach,"Tonify Spleen, Lung and Kidney; stabilize Jing. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.","Damp-Cold, food stagnation",curated+processed
404,炒山楂(山里红),Chǎo Shān Zhā,Dry-fried Hawthorn Fruit,山楂,炒,山里红,3,2:1,2,6,digestion|cholesterol|blood_move|heart|weight|spleen,"Aid digestion of meat and fat, move Qi, dispel stasis and lower blood lipids. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Spleen deficiency without food stagnation; peptic ulcer; excess gastric acid,derived
405,山楂(山里红),Shān Zhā,Hawthorn Fruit,山楂,,山里红,3,2:1,2,6,digestion|cholesterol|blood_move|heart|weight,"Aid digestion of meat and fat, move Qi, dispel stasis and lower blood lipids",Spleen deficiency without food stagnation; peptic ulcer; excess gastric acid,derived
406,焦山楂(山里红),Jiāo Shān Zhā,Scorch-fried Hawthorn Fruit,山楂,焦,山里红,3,2:1,2,6,digestion|cholesterol|blood_move|heart|weight|diarrhoea,"Aid digestion of meat and fat, move Qi, dispel stasis and lower blood lipids. Scorch-frying markedly strengthens the food-dispersing and diarrhoea-checking action, and adds a mild astringent, bleeding-stopping quality.",Spleen deficiency without food stagnation; peptic ulcer; excess gastric acid,derived
407,山萸肉,Shān Yú Ròu,Cornus Fruit Flesh,山萸肉,,,4.17,1.2:1,1.2,5,kidney|liver|astringent|essence|aging,"Supplement Liver and Kidney, secure Essence and stem collapse",Damp-Heat; painful urinary dribbling; excess patterns,derived
408,酒萸肉,Jiǔ Yú Ròu,Wine-processed Cornus Fruit Flesh,萸肉,酒,,4.17,1.2:1,1.2,5,kidney|liver|astringent|essence|aging|blood_move,"Supplement Liver and Kidney, secure Essence and stem collapse. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Damp-Heat; painful urinary dribbling,derived
409,蛇床子,Shé Chuáng Zǐ,Cnidium Fruit,蛇床子,,,0.83,6:1,6,5,kidney|yang_tonic|itch|skin|damp,"Warm the Kidney, assist Yang, dispel Wind, dry Damp and kill parasites",Yin deficiency with Fire; Damp-Heat; mainly topical for skin,derived
410,川射干,Chuān Shè Gān,Iris Tectorum Rhizome,川射干,,,1.67,3:1,3,5,throat|heat|phlegm|toxin,"Clear Heat, resolve toxin, benefit the throat and dissolve phlegm",Pregnancy; Spleen deficiency with loose stool,derived
411,射干,Shè Gān,Belamcanda Rhizome,射干,,,1.67,3:1,3,5,throat|heat|phlegm|toxin|cough,"Clear Heat, resolve toxin, benefit the throat and dissolve phlegm",Pregnancy; Spleen deficiency with loose stool; no Heat present,derived
412,伸筋草,Shēn Jīn Cǎo,Club Moss,伸筋草,,,1.09,5.5:1,5.5,6,wind_damp|collateral|pain|sinew,"Dispel Wind-Damp, relax the sinews and free the collaterals",Pregnancy; heavy menstruation,derived
413,生姜,Shēng Jiāng,Fresh Ginger,生姜,,,0.48,12.5:1,12.5,6,exterior|cold|nausea|stomach|harmonise,"Release the exterior, disperse Cold, warm the Middle, stop vomiting and curb the toxicity of other herbs",Yin deficiency with Heat; Lung Heat cough; Blood Heat bleeding,derived
414,升麻(大三叶升麻),Shēng Má,Cimicifuga Rhizome,升麻,,大三叶升麻,1,5:1,5,5,qi_tonic|prolapse|heat|toxin|rash,"Release the exterior, vent rashes, clear Heat, resolve toxin and raise sunken Yang Qi",Fully erupted rash; Yin deficiency with Yang rising; upper excess with lower deficiency,derived
415,石菖蒲,Shí Chāng Pú,Acorus Rhizome,石菖蒲,,,1.06,4.7:1,4.7,5,phlegm|brain|heart|memory|sleep,"Open orifices, resolve Phlegm, calm Shen, sharpen consciousness",Yin deficiency; slippery semen,curated
416,石上柏,Shí Shàng Bǎi,Selaginella Doederleinii,石上柏,,,1.25,8:1,8,10,heat|toxin|oncology_support|lung|throat,"Clear Heat, resolve toxin, invigorate Blood and reduce swelling",Spleen Cold deficiency,derived
417,石斛(金钗石斛),Shí Hú,Dendrobium Stem,石斛,,金钗石斛,0.8,7.5:1,7.5,6,yin_tonic|stomach|thirst|eye|aging,"Nourish Stomach Yin, generate fluids, clear Heat and brighten the eyes",Damp accumulation; early-stage exterior pattern; Cold deficiency,derived
418,石见穿,Shí Jiàn Chuān,Salvia Chinensis,石见穿,,,1.49,6.7:1,6.7,10,blood_move|toxin|nodule|pain|oncology_support,"Invigorate Blood, resolve toxin, dissipate nodules and relieve pain",Pregnancy; Blood deficiency,derived
419,煅石决明(皱纹盘鲍),Duàn Shí Jué Míng,Calcined Abalone Shell,石决明,煅,皱纹盘鲍,0.67,15:1,15,10,liver|wind|eyes|blood_pressure|aging|astringent,"Calm Liver Yang, clear Liver Fire, improve vision. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.",Spleen deficiency Cold,curated+processed
420,柿蒂,Shì Dì,Persimmon Calyx,柿蒂,,,0.63,8:1,8,5,nausea|stomach|qi_move,Descend rebellious Qi and stop hiccup,Generally well tolerated,derived
421,生石膏,Shēng Shí Gāo,Raw Gypsum,生石膏,,,1.2,12.5:1,12.5,15,heat|fever|thirst|lung|stomach,"Clear Heat, drain Fire, relieve irritability and thirst — a principal Yangming Heat herb",Spleen and Stomach Cold deficiency; Yin deficiency Heat; decoct first,derived
422,使君子,Shǐ Jūn Zǐ,Quisqualis Fruit,使君子,,,1.33,4.5:1,4.5,6,parasite|digestion|spleen|paediatric,"Kill parasites, aid digestion and strengthen the Spleen",Do not take with hot tea — causes hiccup and diarrhoea; do not exceed dose,derived
423,石榴皮,Shí Liú Pí,Pomegranate Rind,石榴皮,,,2.17,2.3:1,2.3,5,diarrhoea|astringent|bleeding|parasite,"Astringe the intestines, stop diarrhoea, stop bleeding and kill parasites",Early-stage dysentery with excess; constipation,derived
424,石韦(有柄石韦),Shí Wéi,Pyrrosia Leaf,石韦,,有柄石韦,1.33,4.5:1,4.5,6,urinary|stone|lung|cough|bleeding,"Promote urination, free painful urination, clear the Lung and stop cough and bleeding",Yin deficiency without Damp-Heat,derived
425,首乌藤,Shǒu Wū Téng,Polygonum Multiflorum Stem,首乌藤,,,1.5,6:1,6,9,sleep|heart|shen|blood_tonic,"Nourish Heart Blood, calm Shen, dispel Wind-Damp",None significant,curated
426,水蛭(蚂蟥),Shuǐ Zhì,Leech,水蛭,,蚂蟥,0.5,4:1,4,2,blood_move|abdominal_mass|stroke|circulation,"Break Blood stasis powerfully, dissipate masses and free the channels",Pregnancy; bleeding disorders; anticoagulant therapy; Blood deficiency,derived
427,丝瓜络,Sī Guā Luò,Luffa Fibre,丝瓜络,,,0.76,6.6:1,6.6,5,wind_damp|collateral|breast|phlegm|pain,"Free the collaterals, dispel Wind-Damp, transform phlegm and unblock the breast",Generally well tolerated; caution in loose stool,derived
428,苏木,Sū Mù,Sappan Wood,苏木,,,0.5,10:1,10,5,blood_move|trauma|menstrual|pain|women,"Invigorate Blood, dispel stasis, free menstruation and reduce swelling and pain",Pregnancy; heavy menstruation; Blood deficiency without stasis,derived
429,酸枣仁,Suān Zǎo Rén,Ziziphus Seed (Raw),酸枣仁,,,2.5,4:1,4,10,sleep|heart|liver|anxiety|shen,"Nourish Heart Yin, calm Shen (raw — sedating effect differs from roasted)",None significant,curated
430,炒酸枣仁,Chǎo Chǎo Suān Zǎo Rén,Dry-fried Roasted Ziziphus Seed,酸枣仁,炒,,2.5,4:1,4,10,sleep|heart|shen|stress|anxiety|spleen,"Nourish Heart Yin, calm Shen, stop sweating. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Excess fire patterns,curated+processed
431,锁阳,Suǒ Yáng,Cynomorium,锁阳,,,2.5,2:1,2,5,kidney|yang_tonic|essence|constipation|aging,"Supplement Kidney Yang, benefit Essence and Blood, strengthen sinew and moisten the intestines",Yin deficiency with Fire; loose stool; Damp-Heat,derived
432,娑罗子(天师栗),Suō Luó Zǐ,Buckeye Seed,娑罗子,,天师栗,1.32,3.8:1,3.8,5,qi_move|liver|stomach|pain|breast,"Soothe the Liver, move Qi, harmonise the Stomach and relieve pain",Qi deficiency; Yin deficiency with Heat,derived
433,水红花子,Shuǐ Hóng Huā Zǐ,Polygonum Orientale Fruit,水红花子,,,1.11,13.5:1,13.5,15,blood_move|nodule|abdominal_mass|pain,"Dissipate Blood stasis, soften hardness, reduce swelling and relieve pain",Pregnancy; Blood deficiency without stasis,derived
434,山银花(灰毡毛忍冬),Shān Yín Huā,Lonicera Confusa Flower,山银花,,灰毡毛忍冬,2.4,2.5:1,2.5,6,heat|toxin|wind_heat|throat|skin,"Clear Heat, resolve toxin and disperse Wind-Heat",Spleen and Stomach Cold deficiency; sores of deficiency type,derived
435,太子参,Tài Zǐ Shēn,Pseudostellaria Root,太子参,,,2,2.5:1,2.5,5,qi_tonic|yin_tonic|spleen|lung|fatigue|children,"Gently tonify Spleen Qi and Lung Yin, generate fluids",None significant — very safe,curated
436,檀香,Tán Xiāng,Sandalwood,檀香,,,0.48,12.5:1,12.5,6,qi_move|chest|stomach|pain|cold,"Move Qi, harmonise the Middle, disperse Cold and relieve pain",Yin deficiency with Heat; add late in decoction,derived
437,桃仁(桃),Táo Rén,Peach Kernel,桃仁,,桃,1,5:1,5,5,blood_stasis|women|menstrual|constipation|lung,"Break Blood stasis, moisten intestines","Pregnancy, bleeding disorders",curated
438,燀桃仁(桃),Chǎn Táo Rén,Blanched Peach Kernel,桃仁,燀,桃,0.83,6:1,6,5,blood_stasis|women|menstrual|constipation|lung,"Break Blood stasis, moisten intestines. Blanching removes the seed coat and destroys enzymes that would otherwise degrade the active constituents on storage.","Pregnancy, bleeding disorders",curated+processed
439,炒桃仁(桃),Chǎo Táo Rén,Dry-fried Peach Kernel,桃仁,炒,桃,0.83,6:1,6,5,blood_stasis|women|menstrual|constipation|lung|spleen,"Break Blood stasis, moisten intestines. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.","Pregnancy, bleeding disorders",curated+processed
440,桃仁(山桃),Táo Rén,Peach Kernel,桃仁,,山桃,1.11,4.5:1,4.5,5,blood_stasis|women|menstrual|constipation|lung,"Break Blood stasis, moisten intestines","Pregnancy, bleeding disorders",curated
441,炒桃仁(山桃),Chǎo Táo Rén,Dry-fried Peach Kernel,桃仁,炒,山桃,1.11,4.5:1,4.5,5,blood_stasis|women|menstrual|constipation|lung|spleen,"Break Blood stasis, moisten intestines. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.","Pregnancy, bleeding disorders",curated+processed
442,天冬,Tiān Dōng,Asparagus Root,天冬,,,4.17,1.2:1,1.2,5,yin_tonic|lung|kidney|heat|aging,"Nourish Kidney and Lung Yin, clear Heat, moisten Dryness","Spleen deficiency-cold, diarrhea",curated
443,天麻,Tiān Má,Gastrodia Rhizome,天麻,,,1.25,4:1,4,5,liver|wind|head|dizziness|aging|brain,"Calm Liver Wind, stop tremors, relieve headache and dizziness",Blood deficiency without Wind,curated
444,甜叶菊,Tián Yè Jú,Stevia Leaf,甜叶菊,,,1,2:1,2,2,thirst|blood_sugar|flavour,"Generate fluids, quench thirst and sweeten a formula without sugar",Generally well tolerated; low blood pressure with high intake,derived
445,制天南星(天南星),Zhì Tiān Nán Xīng,Processed Arisaema Rhizome,天南星,制,天南星,0.75,4:1,4,3,phlegm|wind|spasm|damp,"Dry Damp, transform phlegm, dispel Wind and stop spasm. Processing reduces toxicity and harshness so the herb can be used safely at therapeutic dose.",TOXIC raw — processed form only; pregnancy; Yin deficiency with dry cough,derived
446,葶苈子(播娘蒿),Tíng Lì Zǐ,Lepidium Seed,葶苈子,,播娘蒿,0.83,6:1,6,5,lung|asthma|oedema|phlegm|heart,"Drain the Lung, calm wheezing, promote urination and reduce swelling",Lung deficiency wheezing; Spleen deficiency oedema; weak constitution,derived
447,炒葶苈子(播娘蒿),Chǎo Tíng Lì Zǐ,Dry-fried Lepidium Seed,葶苈子,炒,播娘蒿,0.67,7.5:1,7.5,5,lung|asthma|oedema|phlegm|heart|spleen,"Drain the Lung, calm wheezing, promote urination and reduce swelling. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Lung deficiency wheezing; Spleen deficiency oedema; weak constitution,derived
448,通草,Tōng Cǎo,Tetrapanax Pith,通草,,,0.5,10:1,10,5,urinary|lactation|damp|oedema,"Promote urination, drain Damp and free lactation",Pregnancy; Qi and Yin deficiency; frequent clear urination,derived
449,凤仙透骨草,Fèng Xiān Tòu Gǔ Cǎo,Garden Balsam Stem,凤仙透骨草,,,1.8,5:1,5,9,wind_damp|pain|blood_move|trauma,"Dispel Wind-Damp, invigorate Blood and relieve pain",Pregnancy; external use preferred,derived
450,土鳖虫(地鳖),Tǔ Biē Chóng,Ground Beetle,土鳖虫,,地鳖,0.86,3.5:1,3.5,3,blood_move|trauma|fracture|pain|abdominal_mass,"Break Blood stasis, free the channels, mend sinew and join bone",Pregnancy; Blood deficiency without stasis,derived
451,土茯苓,Tǔ Fú Líng,Smilax Rhizome,土茯苓,,,3.75,4:1,4,15,damp|toxin|skin|joint|heat,"Resolve toxin, drain Damp, free the joints — unrelated to 茯苓",Liver and Kidney Yin deficiency; avoid strong tea concurrently,derived
452,菟丝子(南方菟丝子),Tú Sī Zǐ,Cuscuta Seed,菟丝子,,南方菟丝子,1.2,5:1,5,6,yang_tonic|kidney|yin_tonic|jing|fertility|eyes,"Tonify Kidney Yang and Yin, stabilize Jing, brighten eyes","Fire from Yin deficiency, difficult urination",curated
453,盐菟丝子(南方菟丝子),Yán Tú Sī Zǐ,Salt-processed Cuscuta Seed,菟丝子,盐,南方菟丝子,1.33,4.5:1,4.5,6,yang_tonic|kidney|yin_tonic|jing|fertility|eyes,"Tonify Kidney Yang and Yin, stabilize Jing, brighten eyes. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.","Fire from Yin deficiency, difficult urination",curated+processed
454,天葵子,Tiān Kuí Zǐ,Semiaquilegia Root,天葵子,,,4.29,1.4:1,1.4,6,heat|toxin|nodule|abscess,"Clear Heat, resolve toxin, dissipate nodules and reduce swelling",Spleen Cold deficiency; pregnancy,derived
455,土贝母,Tǔ Bèi Mǔ,Bolbostemma Rhizome,土贝母,,,1.67,3:1,3,5,nodule|toxin|breast|swelling,"Resolve toxin, dissipate nodules and reduce swelling — distinct from 贝母",Not for cough; deficiency patterns without nodule,derived
456,威灵仙(东北铁线莲),Wēi Líng Xiān,Clematis Root,威灵仙,,东北铁线莲,1.11,4.5:1,4.5,5,wind_damp|pain|collateral|joint,"Dispel Wind-Damp, free the collaterals, relieve pain and dissolve fish bone",Qi and Blood deficiency; not for prolonged use — depletes Qi,derived
457,五倍子,Wǔ Bèi Zǐ,Gallnut,五倍子,,,1.88,1.6:1,1.6,3,astringent|cough|diarrhoea|sweating|bleeding,"Astringe the Lung, restrain the intestines, stop sweating and stop bleeding",Exterior patterns; Damp-Heat with accumulation; cough from external Cold,derived
458,五灵脂,Wǔ Líng Zhī,Flying Squirrel Faeces,五灵脂,,,0.91,5.5:1,5.5,5,pain|blood_move|menstrual|bleeding,"Dispel Blood stasis, relieve pain and stop bleeding",Pregnancy; Blood deficiency without stasis; traditionally incompatible with 人参,derived
459,醋五灵脂,Cù Wǔ Líng Zhī,Vinegar-processed Flying Squirrel Faeces,五灵脂,醋,,0.91,5.5:1,5.5,5,pain|blood_move|menstrual|bleeding|liver,"Dispel Blood stasis, relieve pain and stop bleeding. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; Blood deficiency without stasis; traditionally incompatible with 人参,derived
460,五加皮,Wǔ Jiā Pí,Acanthopanax Root Bark,五加皮,,,0.89,5.6:1,5.6,5,wind_damp|bone|kidney|oedema|aging,"Dispel Wind-Damp, strengthen sinew and bone, promote urination and reduce swelling",Yin deficiency with Heat,derived
461,乌梅,Wū Méi,Mume Fruit,乌梅,,,2.31,2.6:1,2.6,6,astringent|cough|diarrhoea|thirst|gut,"Astringe the Lung, restrain the intestines, generate fluids and calm roundworm",Exterior patterns not yet released; excess Heat with accumulation,derived
462,五味子,Wǔ Wèi Zǐ,Schisandra Berry,五味子,,,1.88,1.6:1,1.6,3,qi_tonic|kidney|lung|liver|sleep|stress|aging,"Astringe Lung and Kidney, calm Shen, generate fluids, stop sweating","Exterior patterns, interior excess Heat",curated
463,醋五味子,Cù Wǔ Wèi Zǐ,Vinegar-processed Schisandra Berry,五味子,醋,,2,1.5:1,1.5,3,qi_tonic|kidney|lung|liver|sleep|stress|aging|pain|blood_move,"Astringe Lung and Kidney, calm Shen, generate fluids, stop sweating. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.","Exterior patterns, interior excess Heat",curated+processed
464,乌梢蛇,Wū Shāo Shé,Black-striped Snake,乌梢蛇,,,0.86,3.5:1,3.5,3,wind_damp|collateral|spasm|skin,"Dispel Wind, free the collaterals and settle spasm",Blood deficiency generating Wind; Yin deficiency,derived
465,乌药,Wū Yào,Lindera Root,乌药,,,0.6,10:1,10,6,qi_move|pain|kidney|cold|urinary,"Move Qi, relieve pain, warm the Kidney and disperse Cold",Qi and Blood deficiency; internal Heat,derived
466,吴茱萸(吴茱萸),Wú Zhū Yú,Evodia Fruit,吴茱萸,,吴茱萸,0.91,3.3:1,3.3,3,cold|pain|stomach|headache|menstrual,"Disperse Cold, relieve pain, descend rebellious Qi, stop vomiting and warm the Middle",Heat patterns; Yin deficiency; mildly toxic — short courses and low dose,derived
467,制吴茱萸(吴茱萸),Zhì Wú Zhū Yú,Processed Evodia Fruit,吴茱萸,制,吴茱萸,1,3:1,3,3,cold|pain|stomach|headache|menstrual,"Disperse Cold, relieve pain, descend rebellious Qi, stop vomiting and warm the Middle. Processing reduces toxicity and harshness so the herb can be used safely at therapeutic dose.",Heat patterns; Yin deficiency; mildly toxic — short courses and low dose,derived
468,蜈蚣,Wú Gōng,Centipede,蜈蚣,,,0.71,2.8:1,2.8,2,wind|spasm|toxin|pain|nodule,"Extinguish Wind, stop spasm, resolve toxin, dissipate nodules and free the collaterals",Pregnancy; toxic — strict dose limit; Blood deficiency Wind,derived
469,五指毛桃,Wǔ Zhǐ Máo Táo,Hairy Fig Root,五指毛桃,,,2,7.5:1,7.5,15,qi_tonic|spleen|lung|damp|fatigue,"Strengthen Spleen and supplement Lung, move Qi without drying, dispel Damp and free the collaterals",Generally well tolerated; caution in acute Heat patterns,derived
470,瓦楞子(毛蚶),Wǎ Léng Zǐ,Ark Shell,瓦楞子,,毛蚶,0.75,20:1,20,15,nodule|gastric_acid|blood_move|phlegm|abdominal_mass,"Dissipate phlegm nodules, invigorate Blood, soften hardness and restrain acid",Calcined form for acid; no nodule or stasis present,derived
471,豨莶草(腺梗豨莶),Xī Xiān Cǎo,Siegesbeckia,豨莶草,,腺梗豨莶,1.82,5.5:1,5.5,10,wind_damp|joint|collateral|hypertension|skin,"Dispel Wind-Damp, free the collaterals, clear Heat and resolve toxin",Yin deficiency; large raw doses may cause nausea,derived
472,西青果,Xī Qīng Guǒ,Immature Terminalia Fruit,西青果,,,2,1.5:1,1.5,3,throat|heat|toxin|voice|thirst,"Clear Heat, generate fluids, resolve toxin and benefit the throat",Spleen Cold deficiency,derived
473,细辛(北细辛),Xì Xīn,Asarum,细辛,,北细辛,0.91,3.3:1,3.3,3,pain|headache|wind_cold|sinus|cough,"Disperse Cold, dispel Wind, relieve pain, warm the Lung and open the orifices",TOXIC — strict dose limit (aristolochic acid concern); pregnancy; Yin deficiency with Heat; incompatible with 藜芦,derived
474,西洋参,Xī Yáng Shēn,American Ginseng,西洋参,,,1.5,2:1,2,3,qi_tonic|yin_tonic|lung|heart|aging|fatigue|stress,"Tonify Qi, nourish Yin, clear Heat, generate fluids",Cold-Damp Spleen; avoid with tea and coffee,curated
475,溪黄草(溪黄草),Xī Huáng Cǎo,Rabdosia Serra,溪黄草,,溪黄草,1.32,7.6:1,7.6,10,heat|damp|liver|jaundice|toxin,"Clear Heat, drain Damp, resolve toxin and relieve jaundice",Spleen and Stomach Cold deficiency,derived
476,夏枯草,Xià Kū Cǎo,Prunella Spike,夏枯草,,,1.38,6.5:1,6.5,9,thyroid|nodule|liver|heat|blood_pressure,"Clear Liver Fire, dissipate nodules, brighten eyes",Spleen-Stomach weakness,curated
477,仙鹤草,Xiān Hè Cǎo,Agrimony,仙鹤草,,,1,6:1,6,6,bleeding|diarrhoea|fatigue|gut,"Stop bleeding, restrain diarrhoea, kill parasites and relieve fatigue",Generally well tolerated; caution where stasis is the cause of bleeding,derived
478,仙茅,Xiān Máo,Curculigo Rhizome,仙茅,,,1,5:1,5,5,women|menopause|yang_tonic|kidney|cold,"Warm Kidney Yang, strengthen sinews, dispel Cold-Damp","Yin deficiency heat, pregnancy; toxic in large doses",curated
479,香附,Xiāng Fù,Cyperus Rhizome,香附,,,1,5:1,5,5,stress|liver_qi|women|menstrual|pain,"Move Liver Qi, regulate menstruation, stop pain",Qi or Blood deficiency without stagnation,curated
480,醋香附,Cù Xiāng Fù,Vinegar-processed Cyperus Rhizome,香附,醋,,1.25,4:1,4,5,stress|liver_qi|women|menstrual|pain|liver|blood_move,"Move Liver Qi, regulate menstruation, stop pain. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Qi or Blood deficiency without stagnation,curated+processed
481,香加皮,Xiāng Jiā Pí,Periploca Root Bark,香加皮,,,0.83,3.6:1,3.6,3,wind_damp|oedema|bone|heart,"Dispel Wind-Damp, strengthen sinew and bone, promote urination and reduce swelling",TOXIC — cardiac glycosides; strict dose limit; do not confuse with 五加皮,derived
482,香橼(香圆),Xiāng Yuán,Citron Fruit,香橼,,香圆,2.5,2:1,2,5,qi_move|liver|stomach|phlegm|chest,"Soothe the Liver, move Qi, harmonise the Middle and transform phlegm",Yin deficiency with Heat; pregnancy — use with care,derived
483,小茴香,Xiǎo Huí Xiāng,Fennel Fruit,小茴香,,,0.67,4.5:1,4.5,3,cold|pain|qi_move|stomach|hernia,"Disperse Cold, relieve pain, move Qi and harmonise the Stomach",Yin deficiency with Heat; excess Heat patterns,derived
484,盐小茴香,Yán Xiǎo Huí Xiāng,Salt-processed Fennel Fruit,小茴香,盐,,0.75,4:1,4,3,cold|pain|qi_move|stomach|hernia|kidney,"Disperse Cold, relieve pain, move Qi and harmonise the Stomach. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Yin deficiency with Heat; excess Heat patterns,derived
485,小蓟,Xiǎo Jì,Cephalanoplos,小蓟,,,1.5,4:1,4,6,bleeding|heat|urinary|toxin,"Cool Blood, stop bleeding, dispel stasis and resolve toxin — especially for urinary bleeding",Spleen and Stomach Cold deficiency,derived
486,薤白(小根蒜),Xiè Bái,Chinese Chive Bulb,薤白,,小根蒜,2,2.5:1,2.5,5,chest|heart|qi_move|pain|phlegm,"Free Yang, dissipate clumps, move Qi and relieve chest pain",Qi deficiency without stagnation; Yin deficiency with Heat,derived
487,小蓟炭,Xiǎo Jì Tàn,Charred Cephalanoplos,小蓟炭,,,1.33,4.5:1,4.5,6,bleeding|astringent|urinary,Charring strengthens the astringent bleeding-stopping action,Bleeding due to stasis,derived
488,辛夷(望春花),Xīn Yí,Magnolia Flower Bud,辛夷,,望春花,0.5,6:1,6,3,sinus|nasal|wind_cold|headache|allergy,Disperse Wind-Cold and open the nasal passages,Yin deficiency with Heat; must be bagged when decocted — hairs irritate,derived
489,小麦,Xiǎo Mài,Wheat Grain,小麦,,,0.71,14:1,14,10,shen|heart|sleep|women|sweating,"Nourish the Heart, quiet the Shen, benefit the Kidney and stop sweating",Damp accumulation; gluten intolerance,derived
490,徐长卿,Xú Cháng Qīng,Cynanchum Root,徐长卿,,,1.43,3.5:1,3.5,5,pain|wind_damp|itch|skin|allergy,"Dispel Wind, relieve pain, drain Damp and stop itching",Weak constitution; volatile — add late in decoction,derived
491,续断,Xù Duàn,Teasel Root,续断,,,3.6,2.5:1,2.5,9,yang_tonic|kidney|bone|joint|women|aging,"Tonify Kidney and Liver, strengthen bones and sinews, stop bleeding",Liver excess fire patterns,curated
492,盐续断,Yán Xù Duàn,Salt-processed Teasel Root,续断,盐,,3.6,2.5:1,2.5,9,yang_tonic|kidney|bone|joint|women|aging,"Tonify Kidney and Liver, strengthen bones and sinews, stop bleeding. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Liver excess fire patterns,curated+processed
493,旋覆花(旋覆花),Xuán Fù Huā,Inula Flower,旋覆花,,旋覆花,1.11,4.5:1,4.5,5,phlegm|nausea|cough|stomach|lung,"Descend rebellious Qi, transform phlegm, stop vomiting and calm wheezing",Yin deficiency dry cough; loose stool; must be bagged when decocted — hairs irritate the throat,derived
494,蜜旋覆花(旋覆花),Mì Xuán Fù Huā,Honey-fried Inula Flower,旋覆花,蜜,旋覆花,1.67,3:1,3,5,phlegm|nausea|cough|stomach|lung,"Descend rebellious Qi, transform phlegm, stop vomiting and calm wheezing. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Yin deficiency dry cough; loose stool; must be bagged when decocted — hairs irritate the throat,derived
495,玄参,Xuán Shēn,Scrophularia Root,玄参,,,3.33,1.5:1,1.5,5,thyroid|nodule|heat|yin_tonic|lymph,"Nourish Yin, clear Heat, soften hardness, cool Blood",Spleen deficiency with Damp,curated
496,香薷(江香薷),Xiāng Rú,Elsholtzia,香薷,,江香薷,0.78,6.4:1,6.4,5,summerheat|exterior|damp|oedema|nausea,"Release the exterior, disperse summerheat-Cold, transform Damp and promote urination",Exterior deficiency with sweating; heatstroke with profuse sweating,derived
497,延胡索,Yán Hú Suǒ,Corydalis Rhizome,延胡索,,,1.11,4.5:1,4.5,5,pain|blood_move|qi_move|menstrual|stomach,"Invigorate Blood, move Qi and powerfully relieve pain",Pregnancy; Blood deficiency without stasis; may cause drowsiness,derived
498,醋延胡索,Cù Yán Hú Suǒ,Vinegar-processed Corydalis Rhizome,延胡索,醋,,1.11,4.5:1,4.5,5,pain|blood_move|qi_move|menstrual|stomach|liver,"Invigorate Blood, move Qi and powerfully relieve pain. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; Blood deficiency without stasis; may cause drowsiness,derived
